Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Travel_Frequently,676,Sales,28,4,Human Resources,1,11,2,Male,91,1,2,Sales Representative,3,Divorced,9744,19626,5,Y,No,20,3,2,80,0,8,3,4,1,0,1,0
60,No,Travel_Frequently,1471,Sales,7,2,Human Resources,1,12,4,Male,91,1,2,Manager,2,Married,10236,21316,8,Y,No,22,3,1,80,0,9,1,4,1,1,0,0
49,No,Travel_Rarely,554,Sales,7,2,Human Resources,1,13,4,Male,45,1,1,Sales Representative,3,Married,4379,12551,9,Y,Yes,15,3,3,80,0,4,5,2,0,0,0,0
27,No,Travel_Rarely,1393,Research & Development,26,1,Marketing,1,14,4,Female,96,4,2,Laboratory Technician,1,Divorced,9012,7630,7,Y,No,20,3,3,80,0,9,4,1,3,0,3,3
19,Yes,Travel_Rarely,1021,Sales,26,3,Human Resources,1,15,2,Male,93,2,2,Sales Representative,2,Married,7348,21264,0,Y,No,13,3,4,80,0,1,0,2,1,1,1,0
49,No,Travel_Frequently,1049,Research & Development,17,4,Life Sciences,1,16,1,Female,82,4,1,Manager,2,Married,6270,3261,8,Y,No,17,3,1,80,2,3,1,4,2,0,0,1
22,Yes,Travel_Frequently,1467,Sales,10,5,Life Sciences,1,17,2,Female,46,1,2,Manager,4,Married,7993,9588,8,Y,No,23,3,4,80,0,2,3,1,2,0,1,2
56,No,Travel_Rarely,235,Sales,18,3,Human Resources,1,18,4,Male,87,2,1,Sales Executive,2,Divorced,7325,5721,4,Y,No,16,3,1,80,3,5,4,4,1,0,1,0
37,Yes,Travel_Rarely,970,Sales,21,2,Life Sciences,1,19,2,Male,70,3,4,Manager,2,Single,13149,6929,5,Y,No,25,3,1,80,0,13,4,4,4,1,1,1
46,No,Non-Travel,928,Research & Development,15,3,Human Resources,1,20,1,Male,56,2,2,Healthcare Representative,2,Single,8228,23262,0,Y,No,12,4,1,80,0,3,0,4,3,1,2,1
23,No,Travel_Frequently,219,Sales,21,4,Human Resources,1,21,1,Female,32,2,2,Manager,2,Married,6957,6457,0,Y,No,16,3,4,80,1,5,5,3,1,0,1,1
40,No,Travel_Frequently,898,Research & Development,28,2,Other,1,22,2,Female,33,2,2,Research Scientist,2,Married,8901,18615,7,Y,No,11,3,2,80,1,5,3,2,5,1,3,4
23,No,Travel_Rarely,1130,Research & Development,15,2,Marketing,1,23,1,Male,71,3,1,Laboratory Technician,3,Married,4478,5994,5,Y,No,15,3,2,80,0,4,0,4,2,2,0,0
51,No,Travel_Rarely,179,Research & Development,22,1,Life Sciences,1,24,3,Male,31,2,1,Manager,4,Married,6821,18842,9,Y,No,24,4,3,80,0,1,6,3,0,0,0,0
60,No,Travel_Rarely,212,Research & Development,23,3,Life Sciences,1,25,1,Male,63,2,1,Manager,4,Single,4872,15004,7,Y,No,18,3,1,80,1,2,1,3,2,2,1,0
43,No,Travel_Rarely,816,Sales,1,3,Life Sciences,1,26,1,Female,37,1,2,Sales Representative,2,Single,9556,17479,2,Y,Yes,23,3,4,80,0,7,1,2,2,2,2,2
37,No,Travel_Rarely,430,Research & Development,5,3,Other,1,27,2,Male,46,3,2,Manufacturing Director,3,Single,7702,21302,7,Y,No,16,3,3,80,1,0,6,4,0,0,0,0
31,Yes,Travel_Rarely,1167,Research & Development,8,3,Life Sciences,1,28,4,Female,47,4,3,Manager,2,Divorced,12315,12629,7,Y,No,17,3,4,80,0,12,2,4,1,1,1,0
40,No,Travel_Rarely,258,Research & Development,14,3,Medical,1,29,1,Male,67,4,2,Research Scientist,4,Married,10057,3214,4,Y,No,21,3,3,80,0,4,3,3,4,2,3,2
22,No,Travel_Frequently,112,Research & Development,13,2,Technical Degree,1,30,4,Female,67,4,1,Laboratory Technician,4,Married,6708,13491,7,Y,No,17,3,3,80,0,0,2,3,0,0,0,0
57,No,Travel_Rarely,915,Sales,12,4,Technical Degree,1,31,4,Male,50,4,2,Sales Executive,4,Married,8900,5511,3,Y,No,16,4,3,80,2,3,6,1,3,3,3,1
57,No,Travel_Frequently,126,Research & Development,21,2,Life Sciences,1,32,2,Female,81,3,3,Manufacturing Director,1,Married,11321,15091,4,Y,No,18,3,1,80,0,12,6,3,3,0,3,0
45,No,Non-Travel,1269,Sales,22,3,Technical Degree,1,33,2,Male,69,3,1,Sales Representative,4,Married,4754,25664,1,Y,No,11,3,2,80,1,0,1,1,0,0,0,0
47,Yes,Travel_Rarely,1179,Research & Development,10,4,Marketing,1,34,2,Male,96,2,1,Healthcare Representative,3,Single,6382,9312,0,Y,No,22,3,3,80,1,1,2,2,1,0,1,0
49,No,Travel_Rarely,572,Sales,14,3,Human Resources,1,35,3,Female,41,4,1,Sales Representative,3,Divorced,6191,20033,4,Y,No,15,3,2,80,1,0,0,2,0,0,0,0
52,No,Travel_Rarely,711,Research & Development,14,4,Marketing,1,36,3,Female,66,4,2,Healthcare Representative,4,Married,9643,18552,5,Y,No,12,3,4,80,0,10,3,1,4,2,0,4
34,No,Travel_Frequently,1488,Research & Development,21,1,Other,1,37,3,Male,94,3,1,Laboratory Technician,1,Married,5681,21344,4,Y,No,14,3,3,80,0,10,4,2,2,2,1,1
53,No,Travel_Rarely,1142,Research & Development,22,3,Other,1,38,1,Female,30,1,1,Manufacturing Director,4,Single,5109,3334,7,Y,No,20,3,1,80,0,3,2,2,1,1,0,0
47,No,Travel_Rarely,590,Sales,29,4,Life Sciences,1,39,1,Male,55,1,1,Manager,2,Single,7341,26716,9,Y,No,17,3,1,80,0,5,4,3,5,5,3,4
32,No,Non-Travel,1084,Research & Development,18,5,Human Resources,1,40,3,Female,68,4,2,Manager,2,Single,10217,26172,7,Y,No,11,3,4,80,1,10,0,3,2,2,1,1
33,No,Travel_Rarely,1484,Research & Development,27,3,Medical,1,41,3,Male,34,1,3,Research Scientist,1,Divorced,10779,12910,0,Y,No,13,4,1,80,0,14,5,2,8,8,6,3
54,No,Non-Travel,1435,Research & Development,25,3,Life Sciences,1,42,4,Male,86,4,3,Laboratory Technician,4,Single,11201,20743,8,Y,No,11,4,2,80,1,8,5,3,2,1,0,2
40,No,Non-Travel,1089,Research & Development,3,2,Medical,1,43,2,Female,58,2,3,Manager,2,Divorced,10553,19696,8,Y,No,12,3,4,80,0,8,6,1,3,0,3,1
28,No,Travel_Rarely,1387,Research & Development,16,2,Human Resources,1,44,2,Male,48,2,2,Research Director,2,Married,4423,20861,7,Y,No,22,3,1,80,0,4,0,1,1,1,1,0
42,Yes,Travel_Rarely,1171,Research & Development,11,2,Human Resources,1,45,1,Female,56,1,1,Research Director,2,Single,5149,3230,8,Y,No,11,4,4,80,0,5,3,3,3,3,1,0
52,No,Travel_Rarely,311,Sales,28,3,Medical,1,46,4,Male,79,2,4,Sales Executive,3,Single,13664,25915,3,Y,No,21,3,3,80,1,14,3,1,0,0,0,0
50,Yes,Travel_Frequently,950,Sales,2,3,Medical,1,47,2,Male,85,1,2,Manager,2,Married,9128,3082,4,Y,No,25,3,4,80,2,5,3,4,0,0,0,0
22,No,Non-Travel,488,Research & Development,3,2,Human Resources,1,48,4,Female,93,1,3,Research Scientist,1,Married,12006,8153,4,Y,Yes,18,3,4,80,3,4,3,4,4,3,4,3
47,Yes,Travel_Rarely,112,Research & Development,16,3,Other,1,49,1,Male,74,3,1,Research Scientist,4,Single,5038,11014,0,Y,No,22,3,2,80,2,6,2,2,0,0,0,0
34,No,Travel_Rarely,223,Research & Development,20,3,Technical Degree,1,50,1,Male,44,4,1,Research Scientist,2,Married,7027,5135,9,Y,Yes,17,4,4,80,0,3,2,4,1,0,1,0
23,No,Travel_Rarely,115,Sales,8,2,Technical Degree,1,51,4,Male,41,4,2,Manager,2,Married,11138,12420,8,Y,No,23,3,3,80,0,5,6,2,5,2,0,0
25,Yes,Travel_Rarely,1058,Research & Development,18,2,Other,1,52,3,Female,53,1,2,Research Director,2,Married,8389,10689,4,Y,Yes,14,3,4,80,0,4,3,4,0,0,0,0
49,No,Travel_Rarely,1041,Research & Development,4,3,Medical,1,53,2,Male,43,2,4,Laboratory Technician,3,Single,14839,24955,1,Y,No,17,3,1,80,2,10,4,3,0,0,0,0
31,No,Travel_Rarely,945,Research & Development,25,2,Marketing,1,54,1,Male,30,2,1,Manager,4,Married,5238,8370,3,Y,No,18,3,3,80,3,4,0,3,1,0,0,1
60,No,Travel_Rarely,938,Sales,24,4,Technical Degree,1,55,4,Female,62,3,1,Sales Executive,3,Married,5714,11294,2,Y,No,24,3,4,80,0,3,4,2,0,0,0,0
60,No,Non-Travel,1318,Research & Development,18,3,Marketing,1,56,3,Male,84,2,1,Manufacturing Director,4,Married,4920,7332,9,Y,Yes,21,3,2,80,0,5,1,4,0,0,0,0
29,No,Non-Travel,1227,Research & Development,21,3,Other,1,57,4,Male,33,1,1,Research Scientist,1,Divorced,3863,6208,5,Y,No,12,3,2,80,2,6,6,2,5,0,1,0
18,Yes,Travel_Rarely,1128,Research & Development,26,3,Technical Degree,1,58,3,Male,55,1,2,Manufacturing Director,3,Married,7833,8565,1,Y,Yes,16,3,4,80,0,0,1,3,0,0,0,0
51,No,Travel_Rarely,1109,Sales,14,3,Other,1,59,2,Male,81,3,1,Sales Executive,4,Single,5496,5704,2,Y,No,18,3,4,80,0,4,5,3,4,1,0,2
30,Yes,Travel_Rarely,827,Research & Development,7,3,Medical,1,60,1,Male,38,3,2,Research Scientist,3,Single,10276,21575,8,Y,No,25,3,2,80,0,6,0,3,4,4,3,4
43,No,Travel_Frequently,1285,Research & Development,25,4,Medical,1,61,2,Male,40,4,2,Research Scientist,3,Single,9229,11254,8,Y,No,24,3,1,80,3,4,2,2,0,0,0,0
20,Yes,Travel_Frequently,250,Research & Development,14,1,Technical Degree,1,62,3,Male,37,2,1,Laboratory Technician,4,Married,4479,25875,7,Y,No,12,3,3,80,1,1,4,2,1,0,1,0
23,Yes,Travel_Rarely,1081,Research & Development,20,5,Other,1,63,4,Male,32,4,1,Manager,2,Married,4611,3773,6,Y,No,22,4,3,80,0,5,4,2,2,2,1,1
18,Yes,Travel_Rarely,1321,Research & Development,21,1,Life Sciences,1,64,4,Female,84,2,1,Healthcare Representative,4,Married,4515,26931,2,Y,No,16,3,3,80,1,0,3,4,0,0,0,0
29,Yes,Travel_Frequently,923,Research & Development,14,3,Medical,1,65,2,Female,62,4,1,Laboratory Technician,3,Single,4374,22737,0,Y,No,24,3,4,80,1,2,4,3,2,1,2,0
58,No,Travel_Rarely,764,Research & Development,25,3,Technical Degree,1,66,3,Female,60,1,1,Manufacturing Director,4,Married,6589,9248,4,Y,No,13,3,2,80,1,3,1,4,3,0,0,2
48,No,Travel_Rarely,1188,Research & Development,28,2,Life Sciences,1,67,2,Female,92,3,1,Laboratory Technician,2,Divorced,5992,7787,2,Y,No,17,3,3,80,0,3,5,3,1,1,1,0
39,Yes,Travel_Rarely,496,Sales,15,3,Other,1,68,1,Female,92,3,2,Sales Executive,2,Single,9722,24514,3,Y,No,17,3,1,80,1,5,3,2,0,0,0,0
35,No,Travel_Rarely,903,Research & Development,10,3,Human Resources,1,69,1,Male,37,1,1,Healthcare Representative,1,Married,5073,25347,7,Y,Yes,11,3,3,80,2,8,6,4,0,0,0,0
22,No,Travel_Rarely,451,Research & Development,23,1,Life Sciences,1,70,3,Female,37,1,1,Manufacturing Director,1,Married,4183,7533,9,Y,No,16,3,3,80,0,0,3,3,0,0,0,0
26,No,Travel_Rarely,624,Research & Development,9,3,Other,1,71,1,Male,39,2,5,Research Scientist,1,Single,16227,15164,0,Y,No,18,3,2,80,0,8,0,3,3,2,3,2
42,No,Non-Travel,764,Research & Development,14,3,Marketing,1,72,1,Male,51,1,1,Manager,4,Single,5380,22808,8,Y,No,16,3,4,80,0,5,1,3,0,0,0,0
32,No,Travel_Rarely,616,Sales,13,2,Technical Degree,1,73,2,Male,94,1,2,Sales Executive,3,Divorced,8795,8113,7,Y,No,13,3,4,80,2,4,1,1,0,0,0,0
38,No,Travel_Rarely,1226,Sales,9,3,Human Resources,1,74,4,Female,87,2,1,Sales Representative,4,Married,4858,4273,3,Y,No,14,3,2,80,2,5,2,2,1,0,0,1
38,No,Travel_Rarely,1313,Sales,25,2,Technical Degree,1,75,1,Male,89,1,2,Sales Representative,4,Single,7954,13248,0,Y,Yes,25,4,2,80,0,7,4,3,0,0,0,0
55,No,Travel_Rarely,500,Research & Development,23,3,Other,1,76,1,Male,99,1,1,Laboratory Technician,3,Divorced,6541,20603,6,Y,No,19,3,2,80,1,5,0,2,0,0,0,0
20,No,Travel_Frequently,742,Research & Development,27,2,Life Sciences,1,77,1,Male,53,1,2,Laboratory Technician,3,Single,9216,5478,3,Y,No,16,3,1,80,0,2,3,3,0,0,0,0
48,No,Travel_Rarely,351,Sales,22,2,Medical,1,78,4,Female,86,3,1,Sales Executive,3,Married,6896,17986,3,Y,No,12,4,1,80,1,1,5,3,0,0,0,0
49,No,Travel_Rarely,526,Research & Development,26,4,Medical,1,79,4,Female,62,4,5,Laboratory Technician,4,Divorced,17953,9439,4,Y,Yes,14,3,3,80,0,13,6,2,2,2,1,1
34,No,Travel_Rarely,672,Research & Development,17,3,Other,1,80,1,Female,39,2,2,Research Scientist,2,Single,9123,19088,2,Y,No,25,3,1,80,0,9,6,2,4,2,0,2
21,No,Travel_Rarely,1303,Research & Development,20,4,Other,1,81,4,Female,72,3,5,Laboratory Technician,2,Married,16926,8946,2,Y,No,21,3,4,80,0,3,3,1,2,0,1,2
54,No,Travel_Rarely,789,Research & Development,10,4,Medical,1,82,4,Female,33,2,2,Healthcare Representative,4,Divorced,9546,9227,5,Y,Yes,24,3,2,80,2,6,0,4,3,0,1,2
33,No,Travel_Rarely,366,Research & Development,4,4,Medical,1,83,4,Female,79,2,1,Manager,2,Married,5075,2739,2,Y,Yes,22,3,4,80,3,4,1,3,0,0,0,0
26,No,Travel_Frequently,963,Research & Development,16,3,Medical,1,84,1,Male,44,4,1,Healthcare Representative,4,Married,5329,11216,0,Y,No,14,3,1,80,1,0,1,2,0,0,0,0
56,No,Non-Travel,1240,Research & Development,4,1,Marketing,1,85,2,Male,35,3,1,Healthcare Representative,1,Married,5196,9512,6,Y,No,21,3,3,80,0,7,5,2,1,1,0,1
25,No,Travel_Frequently,888,Research & Development,25,3,Life Sciences,1,86,4,Male,76,2,1,Healthcare Representative,4,Married,6449,25633,7,Y,No,16,4,1,80,1,6,0,2,3,2,2,2
42,No,Travel_Rarely,762,Sales,4,4,Life Sciences,1,87,3,Female,98,4,1,Sales Executive,4,Single,6470,15709,3,Y,No,15,4,3,80,1,10,4,4,2,0,2,1
26,No,Travel_Frequently,449,Sales,23,3,Human Resources,1,88,3,Female,57,4,3,Sales Executive,4,Divorced,12462,2865,5,Y,No,22,3,1,80,3,8,3,2,3,2,2,0
44,No,Travel_Rarely,1427,Human Resources,18,1,Life Sciences,1,89,1,Female,91,4,1,Manager,1,Married,5535,19637,3,Y,Yes,22,3,1,80,0,0,4,2,0,0,0,0
59,Yes,Travel_Rarely,557,Research & Development,17,1,Life Sciences,1,90,4,Male,90,3,3,Manager,1,Divorced,13681,24610,0,Y,No,23,3,2,80,3,10,1,3,1,0,0,0
44,No,Travel_Frequently,206,Research & Development,18,1,Technical Degree,1,91,2,Male,95,4,2,Research Scientist,2,Married,8832,3936,9,Y,No,24,3,2,80,0,4,0,2,2,0,2,1
20,No,Non-Travel,378,Research & Development,8,1,Other,1,92,2,Female,83,1,2,Healthcare Representative,1,Single,8376,19608,1,Y,No,14,3,3,80,0,2,0,2,0,0,0,0
47,Yes,Travel_Frequently,1273,Research & Development,23,4,Life Sciences,1,93,4,Male,48,4,2,Laboratory Technician,3,Divorced,9839,18122,9,Y,No,22,3,2,80,1,10,2,4,2,0,2,1
28,No,Travel_Rarely,1359,Research & Development,24,3,Technical Degree,1,94,4,Male,80,1,1,Manufacturing Director,2,Married,5231,20787,4,Y,No,24,3,2,80,2,3,4,3,1,0,0,0
54,Yes,Non-Travel,863,Research & Development,13,3,Human Resources,1,95,3,Male,75,2,5,Healthcare Representative,3,Married,19999,18860,4,Y,Yes,22,3,3,80,1,12,2,4,7,2,6,5
41,No,Travel_Frequently,368,Sales,17,2,Human Resources,1,96,3,Female,83,2,3,Manager,4,Single,13462,3802,5,Y,Yes,15,3,2,80,1,9,3,4,4,4,0,2
29,No,Travel_Rarely,873,Sales,6,1,Technical Degree,1,97,3,Female,36,2,1,Sales Executive,3,Divorced,5085,2458,2,Y,No,25,3,1,80,0,7,4,4,3,3,3,1
50,Yes,Travel_Frequently,797,Research & Development,15,3,Human Resources,1,98,2,Female,59,3,2,Research Scientist,1,Single,9948,22630,2,Y,No,13,3,2,80,1,9,0,3,1,0,1,0
24,No,Travel_Rarely,1011,Sales,8,1,Human Resources,1,99,4,Male,89,4,4,Sales Representative,1,Married,13456,14042,1,Y,No,23,3,1,80,0,6,5,4,1,1,0,0
51,No,Travel_Rarely,1178,Sales,24,1,Human Resources,1,100,3,Female,48,4,3,Sales Executive,3,Married,11214,25958,8,Y,No,16,3,3,80,2,12,6,2,2,0,1,2
27,No,Travel_Rarely,1092,Research & Development,28,3,Medical,1,101,2,Female,55,1,2,Laboratory Technician,4,Married,7765,20287,5,Y,Yes,16,3,1,80,0,9,1,4,6,5,1,2
22,No,Non-Travel,733,Research & Development,19,4,Marketing,1,102,1,Female,84,2,4,Manager,3,Single,14065,8412,6,Y,No,15,3,1,80,2,4,4,4,4,0,0,2
28,Yes,Travel_Rarely,311,Human Resources,19,1,Marketing,1,103,4,Female,42,2,5,Manager,1,Married,13600,15505,1,Y,No,19,3,1,80,2,10,5,1,1,0,0,1
53,Yes,Travel_Rarely,154,Research & Development,18,2,Technical Degree,1,104,3,Female,75,2,2,Research Scientist,4,Married,11560,22226,5,Y,Yes,18,3,2,80,0,4,3,4,4,4,3,2
42,Yes,Non-Travel,846,Research & Development,11,2,Human Resources,1,105,1,Female,63,2,3,Manufacturing Director,4,Married,9364,17587,6,Y,Yes,15,3,1,80,1,9,1,4,7,4,0,3
29,No,Travel_Rarely,1343,Sales,9,5,Marketing,1,106,4,Male,33,4,1,Sales Executive,3,Single,5233,16007,7,Y,No,19,3,3,80,1,2,3,1,2,1,1,0
39,No,Travel_Rarely,660,Research & Development,25,2,Medical,1,107,2,Male,60,1,3,Healthcare Representative,3,Single,9842,16918,1,Y,No,20,3,1,80,2,15,3,3,1,1,0,0
50,Yes,Travel_Rarely,432,Research & Development,14,3,Human Resources,1,108,1,Female,79,2,2,Manufacturing Director,2,Married,5945,11832,5,Y,Yes,19,3,4,80,1,11,3,2,2,0,0,2
43,No,Travel_Rarely,596,Human Resources,22,4,Other,1,109,2,Male,94,2,3,Manager,2,Single,13033,26072,6,Y,No,11,3,3,80,3,7,1,4,7,3,6,6
26,Yes,Travel_Rarely,768,Research & Development,21,3,Marketing,1,110,4,Female,63,4,2,Manager,2,Divorced,8415,4270,8,Y,Yes,23,4,3,80,0,4,3,4,4,0,1,1
52,No,Travel_Rarely,1381,Sales,20,3,Human Resources,1,111,1,Male,40,1,3,Sales Representative,4,Married,11984,4965,2,Y,Yes,15,3,3,80,0,12,2,3,0,0,0,0
24,No,Travel_Frequently,1408,Sales,15,4,Technical Degree,1,112,2,Female,69,1,1,Manager,4,Married,5283,16364,3,Y,No,12,3,1,80,1,3,1,1,1,1,0,0
40,Yes,Non-Travel,852,Research & Development,9,3,Human Resources,1,113,1,Male,70,1,1,Laboratory Technician,1,Single,4495,24506,6,Y,Yes,20,3,2,80,2,0,4,4,0,0,0,0
31,No,Non-Travel,1018,Research & Development,21,3,Other,1,114,2,Male,94,4,2,Manufacturing Director,1,Married,8759,7404,8,Y,Yes,13,3,4,80,3,1,6,1,1,0,1,1
23,No,Travel_Frequently,1253,Research & Development,2,4,Life Sciences,1,115,3,Female,97,1,1,Manufacturing Director,1,Married,7069,8127,0,Y,No,13,3,3,80,2,5,5,1,2,1,0,2
51,No,Travel_Frequently,553,Research & Development,1,4,Life Sciences,1,116,1,Male,73,3,2,Manager,4,Single,8314,21571,2,Y,No,19,3,1,80,0,7,5,1,2,0,2,0
33,No,Travel_Rarely,827,Research & Development,17,2,Life Sciences,1,117,4,Female,98,1,2,Manufacturing Director,2,Married,8465,26536,1,Y,No,24,3,3,80,0,9,0,3,1,0,0,0
24,Yes,Travel_Rarely,1329,Research & Development,29,4,Technical Degree,1,118,4,Female,32,3,1,Manager,2,Single,6285,15159,1,Y,Yes,19,4,3,80,0,3,3,2,3,2,0,2
39,No,Travel_Rarely,201,Research & Development,27,4,Technical Degree,1,119,1,Male,88,4,1,Manager,2,Married,8254,21033,1,Y,No,23,3,4,80,3,5,1,4,3,1,2,2
32,Yes,Travel_Rarely,1291,Research & Development,2,4,Technical Degree,1,120,2,Male,46,1,2,Research Director,1,Divorced,8683,7031,1,Y,No,21,3,2,80,0,9,3,4,5,3,4,1
45,Yes,Travel_Rarely,400,Research & Development,24,3,Marketing,1,121,4,Female,77,3,2,Research Scientist,1,Divorced,9304,23375,7,Y,No,21,3,1,80,0,3,5,1,3,0,1,0
33,Yes,Travel_Frequently,1494,Research & Development,4,4,Marketing,1,122,3,Male,89,1,2,Manufacturing Director,3,Divorced,9642,13129,0,Y,No,16,3,1,80,1,9,2,4,1,1,1,1
60,No,Travel_Rarely,1128,Research & Development,5,3,Marketing,1,123,3,Female,67,2,3,Research Director,4,Divorced,9850,10406,0,Y,No,16,3,2,80,0,11,4,2,2,0,0,0
45,No,Travel_Frequently,723,Sales,4,3,Marketing,1,124,1,Female,78,4,2,Sales Representative,1,Divorced,6026,17815,9,Y,No,17,3,4,80,2,8,4,4,6,2,6,6
52,Yes,Travel_Frequently,586,Research & Development,23,4,Technical Degree,1,125,4,Male,35,2,1,Manager,3,Married,3014,17049,1,Y,No,24,3,2,80,1,0,5,1,0,0,0,0
49,No,Travel_Rarely,120,Sales,2,1,Technical Degree,1,126,1,Female,96,4,1,Manager,2,Single,4146,16759,7,Y,Yes,25,3,2,80,0,1,1,3,1,1,0,0
18,No,Travel_Rarely,1332,Research & Development,29,3,Human Resources,1,127,3,Female,58,4,1,Research Director,4,Married,6698,5794,9,Y,No,22,3,4,80,0,0,3,2,0,0,0,0
46,No,Travel_Rarely,817,Research & Development,7,3,Life Sciences,1,128,2,Female,86,3,4,Research Scientist,1,Divorced,13239,8085,3,Y,No,25,4,4,80,1,13,0,3,9,2,0,8
30,No,Non-Travel,662,Sales,3,3,Human Resources,1,129,3,Female,38,2,1,Sales Representative,3,Married,5074,16777,1,Y,No,23,3,4,80,1,0,0,2,0,0,0,0
54,Yes,Travel_Rarely,1039,Research & Development,5,4,Marketing,1,130,3,Male,71,4,2,Research Scientist,4,Married,7221,5610,5,Y,Yes,18,3,4,80,0,2,4,1,2,1,2,2
47,No,Travel_Rarely,1024,Sales,18,1,Medical,1,131,4,Female,36,2,3,Sales Representative,3,Married,12511,10051,9,Y,Yes,17,3,1,80,1,7,3,3,4,1,1,0
41,No,Travel_Rarely,205,Research & Development,5,3,Life Sciences,1,132,3,Male,47,2,1,Manager,2,Married,5154,17717,0,Y,No,16,4,1,80,0,3,2,1,3,3,1,3
48,No,Travel_Rarely,308,Human Resources,13,3,Human Resources,1,133,1,Female,87,4,3,Human Resources,3,Married,9225,13712,2,Y,No,15,3,1,80,0,12,2,3,0,0,0,0
46,No,Travel_Frequently,389,Research & Development,16,3,Technical Degree,1,134,3,Female,40,4,1,Research Director,3,Married,4035,21439,6,Y,No,16,4,2,80,0,3,2,3,3,3,2,2
40,No,Travel_Rarely,881,Sales,1,2,Marketing,1,135,4,Female,69,4,2,Sales Executive,3,Married,10984,3235,3,Y,No,24,3,2,80,1,5,1,1,0,0,0,0
19,No,Non-Travel,256,Research & Development,8,3,Technical Degree,1,136,3,Male,82,4,1,Research Director,2,Single,6047,9476,7,Y,Yes,25,3,1,80,3,1,3,4,1,1,1,1
48,Yes,Travel_Frequently,586,Sales,28,1,Technical Degree,1,137,3,Female,32,3,3,Sales Executive,1,Married,10600,26450,8,Y,Yes,18,3,4,80,1,9,6,4,2,0,0,0
25,Yes,Travel_Frequently,1468,Research & Development,29,3,Technical Degree,1,138,1,Male,46,4,4,Manager,4,Single,15221,21614,6,Y,Yes,25,3,3,80,0,7,6,1,6,2,2,0
26,No,Travel_Rarely,149,Sales,15,5,Life Sciences,1,139,2,Male,47,3,2,Sales Representative,3,Married,8619,13245,6,Y,No,17,3,4,80,0,5,5,3,3,2,2,0
34,Yes,Travel_Frequently,1122,Research & Development,22,3,Other,1,140,4,Female,67,3,2,Research Director,4,Married,8860,8949,6,Y,Yes,18,3,2,80,0,3,5,4,0,0,0,0
20,No,Travel_Frequently,582,Sales,20,3,Human Resources,1,141,1,Female,30,1,3,Sales Representative,3,Married,10393,3004,0,Y,Yes,18,3,2,80,0,2,2,3,2,1,2,0
